front,back,hint,publishedAt
"es komt daruf an","it depends","","2022-03-20T09:43:10.845Z"
"Real","real","","2022-03-20T14:23:48.863Z"
"hilfreich","helpful","","2022-03-20T14:24:36.933Z"
"betrügen /trügen / täuschen","cheat / deceive / deceive","","2021-02-12T09:41:34.237Z"
"löschen","Clear","","2021-06-07T22:08:15.630Z"
"gelegentlich / selten","occasionally / rarely","","2021-04-28T19:24:56.529Z"
"frühzeitig","early","","2021-05-02T07:54:28.102Z"
"die Todesstrafe","the death penalty","","2021-06-05T08:08:20.262Z"
"unendlich / ewig / unbegrenzt","infinite / eternal","","2022-03-19T08:53:23.766Z"
"Absturz/ Krach","Crash / crash","","2021-04-30T21:50:10.941Z"
"der Regisseur","the director","Beleuchter, Schauspieler, Aufnahmeleiter,\nTon, sogar der Regisseur.","2022-03-02T21:44:16.092Z"
"beschweren","complain","Ich habe mich bei ihm\nüber meinen Nachbarn beschwert.","2022-03-02T10:27:24.459Z"
"Becher","cups","Es gibt auch diese Bechermethode,\ndass man's mit 'nem Kumpel macht,","2022-03-10T11:42:17.830Z"
"Rotkraut","Red cabbage","– Roulade mit Rotkraut und Klößen?","2022-03-02T21:36:44.863Z"
"Berufskraftfahrer","Professional drivers","Berufskraftfahrer .","2022-03-03T06:21:29.254Z"
"Gleichberechtigung","equal rights","Es geht um Gleichberechtigung","2022-03-03T06:20:55.685Z"
"verallgemeinern","generalize","ohne jetzt so richtig\nverallgemeinern zu wollen,","2022-03-10T11:17:52.340Z"
"umfassend","full / extensive / comprehensive","","2021-07-08T13:50:09.914Z"
"Jugendzeit","Youth","Und in eurer gesamten Jugendzeit?","2022-03-10T11:04:17.002Z"
"ausgeprägt / auffallig","pronounced / noticeable","","2021-05-03T06:23:30.130Z"
"waschen, wusch, gewaschen","wash","","2022-03-13T11:03:51.165Z"
"die gewohnheit / die Angewohnheit","habit","","2022-03-05T06:43:38.358Z"
"werden, wurde, geworden","to become","","2022-03-13T11:04:08.396Z"
"wachsen, wuchs, gewachsen","to grow","","2022-03-13T11:03:46.925Z"
"ziehen, zog, gezogen","to pull; to move","","2022-03-13T11:04:32.393Z"
"Umriss/Skizze","outline/sketch","","2021-02-12T09:07:18.984Z"
"die Hüfte","the hip","","2021-01-29T06:37:32.725Z"
"aufladen","charge","","2021-06-17T12:13:43.736Z"
"widmen / gewidmet","dedicate / dedicated","","2021-05-06T09:13:38.345Z"
"neulich /vor kurzem /kürzlich","recently","","2021-04-28T21:45:59.508Z"
"wippen / prallen","bounce","","2021-04-30T12:50:47.539Z"
"versaut / versauen","messed up / filthy / dirty","","2021-02-08T21:00:56.155Z"
"Blühen","blooming","","2021-04-29T07:41:48.610Z"
"wahnsinnig","insane","","2021-01-27T07:54:53.880Z"
"unglaublich","incredible","","2021-01-26T21:14:35.647Z"
"umtausch / austausch","exchange","","2021-01-20T13:58:17.902Z"
"die Sucht / die Süchtigkeit / abhängig","the addiction / addiction / addicted","","2021-02-22T11:35:25.264Z"
"volbeladen","fully loaded","","2021-02-22T14:16:40.006Z"
"der Beton","the concrete","","2021-02-22T14:20:31.074Z"
"die Muskatnuss","the nutmeg","","2021-06-12T22:24:04.962Z"
"Der Schriftsteller","The writer","","2021-06-09T05:27:04.486Z"
"die Marktforschung","the market research","","2021-06-04T16:53:50.783Z"
"Gebrauchtwarencenter","Second hand goods center","","2021-04-30T21:54:15.950Z"
"handfläche","palm","Ich kente das wie meine handfläche","2021-02-27T11:49:46.767Z"
"beachten","note","Bitte beachten sie","2021-01-19T09:37:56.425Z"
"verfolgen / folgen / befolgen","follow","","2021-02-13T22:47:18.085Z"
"die Hypothek","the mortgage","","2021-06-05T08:07:52.986Z"
"ausfüllen","to complete","","2021-06-17T12:14:37.166Z"
"das Aussterben","the extinction","","2021-06-14T22:33:58.307Z"
"unmittelbar","right away","","2021-04-29T07:58:37.437Z"
"die Gefangenschaft","the captivity","","2021-06-16T17:23:49.636Z"
"kreide","chalk","","2021-05-03T06:18:39.482Z"
"die Arten","the species","","2021-06-16T17:24:10.075Z"
"die Wildnis","the wilderness","","2021-06-14T22:33:43.339Z"
"die Qualle","the jellyfish","","2021-06-14T22:31:31.876Z"
"in der Sonne liegen / Sonnenbaden","sunbathe","","2021-06-07T22:11:09.576Z"
"Das Lebensmittelgeschäft","The grocery store","","2021-06-10T06:01:15.608Z"
"ermächtigen / ermoglichen","authorize / enable","","2021-03-02T10:26:30.841Z"
"Verpflichted","Mandatory","","2021-05-06T06:08:27.335Z"
"durchsehen / durchschauen/ durchgucken/ transparente","see through / look through / look through / transparent","","2021-05-03T12:31:37.370Z"
"wahrnehmen","perceive/take in","Die Entdeckung wurde als großer Durchbruch wahrgenommen","2021-02-27T10:10:40.733Z"
"die Linse","a lentil","","2021-06-14T15:14:42.299Z"
"der Ozean","the ocean","","2021-06-12T05:41:09.284Z"
"das uneheliche Kind","the illegitimate child","","2021-06-10T06:06:17.196Z"
"die Herrschaft","the domination","","2021-02-12T09:05:52.832Z"
"entwickeln","develop","","2021-02-12T09:21:29.839Z"
"Benachrichtigung","notification","","2021-06-06T19:55:50.507Z"
"die Wechselstube","the exchange office","Wo gibt es hier eine Wechselstube?","2021-06-08T06:53:18.447Z"
"ankommen","arrive","Wann bist du gestern angekommen?","2021-06-07T22:10:32.383Z"
"das Zwei-Wege-Ticket","the two-way ticket","","2021-06-07T22:11:30.506Z"
"der Gang","the aisle","","2021-06-07T22:11:38.564Z"
"Angestellter","employee","","2021-06-02T09:15:18.714Z"
"der Anrufbeantworter","the answering machine","","2021-06-02T09:27:48.691Z"
"Stöpsel","plug","","2021-04-29T07:18:25.032Z"
"die Schicht","the layer","","2021-02-22T14:49:25.437Z"
"etappen","stages","","2021-02-22T14:25:41.271Z"
"Frost /icig","Frost","","2021-05-02T12:37:39.276Z"
"behutsam / sanft / vorsichtlich / bedacht","cautious / gentle / careful / thoughtful","","2021-04-30T12:43:48.257Z"
"weiterhin / ferner/ weiter","continue / further","","2021-02-24T13:10:05.028Z"
"Mittelarmlehne","Central armrest","","2021-05-03T07:26:34.430Z"
"sowieso","anyway","","2021-04-28T21:50:27.107Z"
"erstellen / erzeugen / schaffen","create","","2021-04-30T05:48:01.867Z"
"köstlich / lecker / wohlschmeckend","delicious / tasty / tasty","","2021-04-30T14:47:45.786Z"
"Stimmung / Laune","Mood / mood","","2021-04-29T06:06:45.358Z"
"schaden","damage","Es könnte ja nicht schaden, wenn du mal etwas spazieren gingest.","2021-04-28T23:02:08.752Z"
"erlebt","experienced","","2021-02-02T11:40:11.484Z"
"keuchen / tief einatmen","gasp","","2021-02-01T15:13:50.868Z"
"straff / knapp / eng / fest / dicht","tight","","2021-02-06T10:45:45.686Z"
"auspusten / Ausblasen","blow out","","2021-02-27T21:45:56.547Z"
"unempfindlich","insensitive","","2021-02-13T19:16:55.977Z"
"Ordentlich","Neat","","2022-04-20T09:58:06.374Z"
"Anwesend","Present","","2022-04-20T10:01:51.359Z"
"Schwäche","Weakness","","2022-04-20T09:58:33.375Z"
"bemühe / Versuchen / probieren","try","","2021-04-30T06:17:47.874Z"
"äußern","express","","2021-06-17T13:14:32.941Z"
"die Schürze / kittel / Arztschürze","the Apron / gown / doctors apron","","2021-05-06T07:13:21.991Z"
"Klamotten / kleidung","Clothes / clothes","","2021-04-29T07:46:41.236Z"
"Der Erbe","The Heir, legacy","","2022-04-20T10:02:30.818Z"
"Beleidigung","Insult","","2021-02-01T10:14:34.586Z"
"verzeichnet","recorded","","2021-07-01T22:35:51.349Z"
"Bedienung","service","","2021-05-01T12:01:21.463Z"
"schiefgehen","go wrong","und seid euch bewusst, dass\ntrotzdem was schiefgehen kann.","2022-04-26T14:00:32.186Z"
"provokant","provocative","provokant.","2022-04-26T14:04:56.041Z"
"die Umsetzung, die Umsetzungen","the implementation","Die Umsetzung der neuen Strategie wird ein paar Wochen dauern.","2022-04-20T10:06:56.787Z"
"Verwaltung","Administration","","2022-04-20T09:59:28.223Z"
"Umleitungsstrecken","Diversion routes","","2022-04-22T09:45:28.693Z"
"Felssturz","Rockfall","","2022-04-22T09:44:18.074Z"
"Der Drache","Dragon","","2022-04-20T10:02:54.466Z"
"Einführung / Einleitung","Introduction / Introduction","","2022-04-20T09:59:33.770Z"
"der Gehaltsstreifen","the pay slip","","2021-06-21T05:41:23.556Z"
"gespritzten","sprayed/injected","","2021-02-10T13:16:20.277Z"
"bieten","offer","","2021-02-05T14:20:04.358Z"
"unschuldig","innocent","","2021-01-19T21:51:20.486Z"
"zeuge","witness","","2021-02-14T13:27:25.059Z"
"das Stellenangebot","the job offer","","2021-02-08T09:31:14.785Z"
"säule","column","","2021-02-22T14:15:46.815Z"
"trennt","separates","","2021-01-20T14:32:02.440Z"
"einstecken","stick in / insert","","2021-01-26T08:04:53.707Z"
"binnen/innenhalb","within","","2021-01-19T12:46:20.486Z"
"erhalten","receive","","2021-01-27T08:13:32.045Z"
"erstens","firstly","","2021-06-28T06:05:05.519Z"
"Der Bleistift","The pencil","Ich habe mir einen Bleistift von ihr geliehen.","2021-06-16T17:33:07.622Z"
"Werkzeugkoffer","Tool case","","2021-04-28T22:06:37.398Z"
"Die Teambesprechung","The team meeting","","2022-04-20T09:59:06.568Z"
"begründen","to justify","begründet, begründete, hat begründet\n\nBitte begründen Sie Ihre Meinung.","2022-03-20T14:49:42.708Z"
"schillernd","dazzling","","2022-05-09T12:54:46.684Z"
"versteckt","hidden","versteckter kamera wie wie escort szene","2022-05-09T08:24:10.629Z"
"gewerblich","commercial","für schöne bereiche und auch gewerbliche","2022-05-09T08:27:43.463Z"
"begleitagentur","escort agency","begleitagentur beworben als escort dame","2022-05-09T08:23:46.621Z"
"Erwachsensein","Adulthood","","2022-05-09T12:55:03.047Z"
"zugeben","admit","","2022-05-09T08:55:52.770Z"
"schmeicheln","flatter / flirting","","2022-05-09T08:57:25.644Z"
"wandertouren","hiking tours","selbständigen wandertouren auf mallorca","2022-05-09T08:25:58.503Z"
"abseits","offside","","2022-05-09T12:55:40.594Z"
"frühjahr","spring","vor allem im frühjahr und im herbst","2022-05-09T08:26:10.494Z"
"die Flecken","the spots","","2021-04-29T15:31:37.126Z"
"jammern","whine","","2021-03-05T11:16:52.871Z"
"schwellen, schwoll, geschwollen","to swell","","2022-03-13T11:01:36.163Z"
"schießen, schoss, geschossen","to shoot","","2022-03-13T11:00:36.839Z"
"schreiben, schrieb, geschrieben","to write","","2022-03-13T11:01:16.515Z"
"der Griff","the handle","","2022-03-20T14:54:45.284Z"
"die Show","the show","-s","2022-03-20T14:33:53.803Z"
"der Alltag","the everyday","Das ist mein Alltag: putzen, waschen, kochen.","2022-03-20T14:37:17.204Z"
"die Homepage","the homepage","-s","2022-03-20T14:30:57.725Z"
"kennen, kannte, gekannt","to know (be familiar with)","","2022-03-13T10:57:56.924Z"
"klingen, klang, geklungen","to sound; to ring","","2022-03-13T10:58:00.630Z"
"lesen, las, gelesen","to read","","2022-03-13T10:58:41.477Z"
"zurzeit","for now","","2022-03-20T09:40:40.218Z"
"gehen, ging, gegangen","to go","","2022-03-13T10:56:29.367Z"
"fangen, fing, gefangen","to catch","","2022-03-13T10:55:38.841Z"
"Praktikumszeugnis","internship certificate","Und ein sehr gutes\nPraktikumszeugnis.","2022-03-02T21:46:02.515Z"
"korrigieren","correction","Deswegen hab ich gesagt, okay, ich\nlass sie mir noch mal korrigieren.","2022-04-26T14:00:04.174Z"
"das Verbrechen","the crime","cinayet","2022-04-20T10:05:20.696Z"
"Wurzel","root","","2022-04-12T20:21:28.797Z"
"wohlbefinden","well-being","","2022-04-25T16:52:53.025Z"
"Erschwinglich","affordable","","2022-03-24T06:43:28.809Z"
"abnehmen","lose weight","Ich habe vor dieses Jahr abzunehmen.","2021-06-10T23:22:56.664Z"
"Vertragen / vertrag","Tolarate / contract","","2021-05-27T08:08:48.355Z"
"umstritten","controversial","","2021-07-08T13:50:20.158Z"
"abverlangt / verlangen","demanded / Craving","","2021-05-06T08:15:34.030Z"
"aufteilen / teilen / trennen","divide / split / separate","","2021-06-10T06:03:32.070Z"
"gestehen","confess","","2021-05-01T07:19:40.599Z"
"Außerdem","also","","2021-01-19T09:30:26.089Z"
"einzigartiges / einzigartig","unique","","2021-04-29T08:22:56.468Z"
"überallhin","everywhere","Du bist immer erreichbar und kommst immer\nganz schnell überallhin.","2022-03-02T12:42:34.747Z"
"stammen","originate","Hier oder der Ort, aus dem\nIhre Familie stammt?","2022-03-03T05:57:46.256Z"
"verplappert","blabbed","","2022-05-14T07:35:52.001Z"
"antrag machen","propose","","2022-05-14T07:24:43.103Z"
"verrutschen","slip","","2022-05-14T07:23:31.046Z"
"Ausammlung","Collection","","2022-04-28T09:51:10.788Z"
"inkonsequent","inconsistent","oft ein bisschen inkonsequent deshalb","2022-05-09T08:21:46.882Z"
"zahlungskräftiges","solvent","denn besonders zahlungskräftiges","2022-05-09T08:26:26.801Z"
"auffassung","opinion","","2022-05-03T09:23:16.799Z"
"empfinden","feel","","2022-05-03T09:29:25.980Z"
"die Bergkette / das gebirge","the mountain chain","","2022-04-26T20:52:07.765Z"
"das Geschlecht","the gender","","2022-04-26T20:54:46.537Z"
"das Gegenmittel","the antidote","","2022-04-26T20:53:36.423Z"
"der Abschluss","the conclusion","-e\nEin guter Schulabschluss ist sehr wichtig.","2022-03-20T14:35:44.942Z"
"Vernünftig / sinnvoll","Sensible","","2022-04-20T09:57:23.874Z"
"die Gezeiten","the tides","","2022-04-26T20:55:44.679Z"
"verdacht","suspected","","2022-05-13T06:28:34.809Z"
"ausgeruscht","slipped out","","2022-05-13T06:22:55.423Z"
"wiedererkennen","recognise","","2022-05-13T06:19:23.958Z"
"andauernd","continually","","2022-05-13T06:16:34.938Z"
"besützen","Protect","","2022-05-13T06:08:52.186Z"
"lebendig / anschaulich / lebhaft","vivid","","2022-05-13T06:03:49.704Z"
"Drogensmugler","Drug smugglers","","2022-05-13T05:59:34.658Z"
"begeistert","excited","","2022-05-13T05:52:46.323Z"
"Stichwort","keyword","","2022-03-18T16:46:24.065Z"
"liegen, lag, gelegen","to lie (lie down)","","2022-03-13T10:58:45.055Z"
"ausländisch / Fremd","foreign / foreign","Die ausländischen Studenten müssen zuerst einen Deutschkurs besuchen.","2022-03-20T14:45:17.690Z"
"die Aussicht","the view","-en\n\n1. Von diesem Turm hat man eine tolle Aussicht.\n2. Mit mehreren Fremdsprachen hat man gute Aussichten im Beruf.","2022-03-20T14:46:24.100Z"
"Zusatzverdienst","Additional earnings","","2022-04-13T12:57:05.301Z"
"das Gefrierfach","the freezer compartment","","2022-04-26T20:53:17.221Z"
"der Geist","the ghost","","2022-04-26T20:54:59.879Z"
"funkel","sparkle","","2022-05-02T21:25:26.730Z"
"das Gegenteil","the opposite","","2022-04-26T20:53:41.302Z"
"die Gebühr","the fee","","2022-04-26T20:52:16.720Z"
"das Gedicht","the poem","","2022-04-26T20:52:40.051Z"
"das Geräusch","the sound or noise","","2022-04-26T20:54:15.085Z"
"nachvollziehen / begriefen / wahrnehmen","comprehend","Kann ich irgendwo\nauch nachvollziehen.","2022-04-26T13:57:26.677Z"
"das Gerücht","the rumor","","2022-04-26T20:54:31.972Z"
"respektiert / achtet","respects / respects","Man achtet\nda irgendwann nicht mehr drauf.","2022-04-26T13:54:08.085Z"
"Auslastung","Capacity utilisation","","2022-05-06T06:40:56.881Z"
"zufall","coincidence","","2022-04-29T15:15:49.800Z"
"Anforderungen","Requirements / Conditions","","2022-05-06T06:43:45.072Z"
"die Geste","the gesture / body gesture","","2022-04-26T20:55:10.256Z"
"Plexiglasabdeckung","Plexiglas cover","","2022-05-06T06:39:28.755Z"
"riemen","belt","","2022-05-12T21:12:14.240Z"
"Beweggründ","Motive","","2022-04-13T12:55:37.588Z"
"genießen, genoss, genossen","to enjoy","seinen urlaub genießen","2022-03-13T10:56:54.675Z"
"Überreizung","Overstimulation","","2022-04-26T14:32:08.034Z"
"allerdings","Indeed","","2021-06-02T09:16:56.906Z"
"zeigen","demonstrate","","2021-01-20T13:57:27.049Z"
"mahnung","reminder/warning","","2021-02-12T09:05:00.618Z"
"bruchbude","dump / Breakdown / Broke","","2021-02-04T22:27:53.759Z"
"Spritzen","Syringes/splash","","2021-01-27T15:42:00.249Z"
"knacken","crack/break","","2021-02-09T14:36:57.981Z"
"wegbeschreibung","directions","","2022-04-28T10:12:10.662Z"
"Überbringer","Carrier","","2022-05-06T06:44:38.982Z"
"das Getriebe","the gearbox","","2022-04-26T20:55:18.520Z"
"weltangeste","world wide","","2022-04-26T14:26:21.218Z"
"der Vorfall","the incident","","2022-03-21T06:55:32.152Z"
"erledigt","Done","","2022-05-06T06:43:35.856Z"
"Aufbauten","Superstructures","","2022-05-06T06:37:54.087Z"
"das Gerede","the gossip","","2022-04-26T20:54:28.512Z"
"das Gestell / der Rahmen","the frame","","2022-04-26T20:55:13.665Z"
"das Gelände","the grounds or terrain","","2022-04-26T20:54:01.813Z"
"erhöhen / ansteigen /Zunamme","increase / increase / increase","– Wenn die Belastung weiter\nzunimmt und die","2022-03-03T07:01:25.951Z"
"Spezifische","Specific","","2022-04-26T14:27:02.391Z"
"Der Leutnant","The Lieutenant","","2022-05-03T19:25:22.422Z"
"wünschenswert","desirable","","2022-05-03T09:29:09.127Z"
"das Gefäß","the container","","2022-04-26T20:53:11.873Z"
"Gewichtszunahme","Weight gain","","2022-04-14T06:50:14.063Z"
"anschnallen","to buckle up","schnallt an, schnallte an, hat angeschnallt\n\nVergiss nicht, dich anzuschnallen.","2022-03-20T14:40:13.976Z"
"fassungslos","stunned","","2022-03-29T13:10:58.540Z"
"enttäuscht","disappointed","","2022-03-20T14:26:31.463Z"
"Schichtschluss","End of shift","","2022-03-18T15:16:03.431Z"
"die Faser","the fibre","","2022-03-20T14:54:31.734Z"
"stehen, stand, gestanden","to stand","","2022-03-13T11:02:42.821Z"
"äußerlich","external","Das Medikament dürfen Sie nur äußerlich anwenden.","2022-03-20T14:46:09.106Z"
"ärgerlich","annoying","Der Zug hat schon wieder Verspätung. Das ist wirklich ärgerlich.","2022-03-20T14:42:14.695Z"
"abgeben / austragen","to hand over, to deliver","gibt ab, gab ab, hat abgegeben\nIch soll dieses Päckchen bei Herrn Müller abgeben","2022-03-20T14:35:06.290Z"
"die Plattform","the platform","-en","2022-03-20T14:33:41.519Z"
"giftig","poisonous","","2022-03-20T14:26:46.065Z"
"wettkampf / konkuranz","competition / rivalry","","2022-03-20T11:29:04.789Z"
"weggebracht","taken away","","2022-05-11T18:55:22.929Z"
"beuteschema","booty diagram","","2022-05-11T18:52:37.275Z"
"einwiligung","consent","","2022-05-11T18:50:27.791Z"
"herauszufinden","to find out","Vielleicht auch herauszufinden, was es ist","2022-05-11T18:43:21.983Z"
"beenden","to finish","beendet, beendete, hat beendet\n\nDu musst deine Ausbildung auf jeden Fall beenden.","2022-03-20T14:49:07.750Z"
"zustimmung","approval","","2022-03-20T09:52:56.883Z"
"quatschen","chat","","2022-03-18T17:18:35.761Z"
"der Zettel","the note","Was schreibst du auf den Zettel?","2022-03-20T14:53:19.614Z"
"der Beitrag","the contribution","¨-e\n\n1. Die Krankenkasse hat die Beträge erhöht.\n2. Der Mitgliedsbeitrag für den Sportverein beträgt 34 Euro pro Monat.","2022-03-20T14:50:25.315Z"
"Turnschuhen","Sneakers","","2022-03-29T13:15:40.885Z"
"geistige","spiritual","","2022-05-11T03:59:06.525Z"
"jeweilige","respective","","2022-05-11T03:45:33.204Z"
"sogenannte","so-called","","2022-05-11T03:43:45.474Z"
"Terminal-Steuerung","Terminal control","","2022-05-11T03:43:03.979Z"
"Benutzeroberfläche","user interface","","2022-05-11T03:42:28.838Z"
"fernverwalten","remote management","","2022-05-11T03:41:32.683Z"
"Kommandozeile","Command line","","2022-05-11T03:41:10.941Z"
"Angelegenheit","matter","","2022-05-11T03:41:03.400Z"
"die Kurzform","the short form","","2022-05-11T03:40:08.738Z"
"Badehandtüchern","Bath towels","","2022-05-10T21:10:26.736Z"
"der Fleischer / Metzger","the butcher","","2022-05-10T18:43:37.818Z"
"der Antrag /  die bewarbung","the application / the application","¨-e\n\nHaben Sie schon einen Antrag für das Wohngeld ausgefüllt?","2022-03-20T14:40:43.045Z"
"vereinigt","united","","2022-03-20T14:26:55.301Z"
"Messe","fair","","2022-03-20T14:24:52.877Z"
"eigentlich","actually","","2022-03-20T09:49:23.175Z"
"wehzutun","to hurt","","2022-03-20T10:50:31.546Z"
"Scheitern / erfolglos","Failure / unsuccessful","","2021-06-12T22:20:47.883Z"
"die Verschuldung","  the debt","","2021-02-12T09:11:38.544Z"
"wertvollen","valuable","","2022-05-09T13:14:19.497Z"
"Neugier","curiosity","","2022-05-09T13:13:00.182Z"
"sündig / sündhaft","sinful","","2022-05-09T13:11:56.403Z"
"die Yacht","the Yacht","","2022-05-09T13:10:47.521Z"
"Kunstsammler","Art collector","","2022-05-09T13:10:24.427Z"
"Zufallsbekanntschaften","Random acquaintances","","2022-05-09T13:10:01.669Z"
"antreten","compete","","2022-05-09T13:09:26.446Z"
"Der Yachthafen","The Marina","","2022-05-09T13:07:50.055Z"
"aufsuchen","visit","","2022-05-09T13:07:21.572Z"
"Verlangen","Desire","Wenn man vielleicht ein Verlangen in sich hat .","2021-02-01T16:13:48.250Z"
"Schublade","drawer","Ich glaube, jeder packt jeden irgendwie in eine Schublade,","2021-01-31T16:38:00.703Z"
"betteln","beg","","2021-02-24T13:01:28.680Z"
"überschritten","crossed/overcome","aber es wurde auch eindeutig eine Grenze für mich überschritten.","2026-03-24T13:29:29.562Z"
"Gemeinschaft / gezelschaft","Community / society","Die Gemeinschaft der Nachbarn organisiert ein Fest.","2025-06-26T10:01:16.253Z"
"zusammenbringen","bring together","Wir wollen die beiden Gruppen zusammenbringen, um an dem Projekt zu arbeiten.","2026-03-24T13:33:03.647Z"
"Ausnahme","exception","Es gibt immer Ausnahmen für Grammatikregeln.","2021-04-29T14:10:45.748Z"
"Kunstlerische","Artistic","Sie hat eine künstlerische Ader und malt in ihrer Freizeit.","2025-07-11T14:08:57.058Z"
"pessimistisch","pessimistic","Er hat eine pessimistische Sicht auf die Zukunft der Umwelt.","2025-05-20T09:30:13.722Z"
"graben, grub, gegraben","to dig","Die Kinder graben ein Loch im Sandkasten.","2022-03-13T10:57:19.493Z"
"Regierungschef","Head of government","","2021-01-19T12:39:00.882Z"
"abgas","exhaust gas","Die Abgase des Autos sind schädlich für die Luftqualität.","2021-06-06T19:40:23.266Z"
"entweder ja oder nein","either yes or no","Willst du ins Kino gehen? Entweder ja oder nein!","2022-03-06T08:11:35.318Z"
"Börsenkrach","Stock market crash","Der Börsenkrach von 1929 führte zu einer weltweiten Wirtschaftskrise.","2021-04-30T21:50:02.923Z"
"lügen, log, gelogen","to lie (tell a falsehood)","Sie log über ihre Herkunft, um besser dazuzugehören.","2022-03-13T10:58:47.474Z"
"das Poster","the poster","In der Schule haben wir ein Poster über Umweltschutz erstellt.","2022-03-20T14:33:43.663Z"
"die Arbeitserlaubnis","the work permit","Ich habe meine Arbeitserlaubnis beantragt und warte auf die Genehmigung.","2022-03-20T14:41:52.391Z"
"die Geschwindigkeit","the speed","Die Geschwindigkeit des Autos beträgt 120 km/h.","2021-01-27T15:24:35.567Z"
"sehen, sah, gesehen","to see","","2022-03-13T11:01:56.640Z"
"unterdrücken","suppress","Die Regierung hat versucht, die Proteste zu unterdrücken.","2021-03-05T11:17:15.167Z"
"fragil","fragile","Die fragilen Gläser müssen vorsichtig behandelt werden.","2025-05-26T09:35:35.308Z"
"zwingen, zwang, gezwungen","to force","","2022-03-13T11:04:35.342Z"
"gleiten, glitt, geglitten","to glide","durch die Luft gleiten","2022-03-13T10:57:15.042Z"
"das Taxi","the taxi","Ich nehme ein Taxi zum Bahnhof.","2022-03-20T14:34:15.847Z"
"live","live","","2022-03-20T14:31:35.370Z"
"online","online","","2022-03-20T14:33:38.674Z"
"faxen","to fax","faxt, faxte, hat gefaxt","2022-03-20T14:30:27.391Z"
"mailen","email","mailt, mailte, hat gemailt","2022-03-20T14:33:17.001Z"
"campen","to camp","campt, campte, hat gecampt","2022-03-20T14:29:48.002Z"
"der Spot","the spot","-s","2022-03-20T14:34:05.909Z"
"bloggen","to blog","bloggt, bloggte, hat gebloggt","2022-03-20T14:29:39.100Z"
"der ICE","the intercity express train","","2022-03-20T14:28:32.469Z"
"der Lkw","the truck","-s","2022-03-20T14:28:43.336Z"
"der Chip","the chip","-s","2022-03-20T14:30:03.826Z"
"rennen, rannte, gerannt","to run, race","","2022-03-13T10:59:43.535Z"
"können, konnte, gekonnt","to be able (can)","","2022-03-13T10:58:12.020Z"
"müssen, musste, gemusst","to have to (must)","","2022-03-13T10:59:07.728Z"
"heißen, hieß, geheißen","to be called","","2022-03-13T10:57:51.024Z"
"essen, aß, gegessen","to eat","","2022-03-13T10:55:17.274Z"
"backen, backte/buk, gebacken","to bake","","2022-03-13T10:53:58.605Z"
"beginnen, beginnt, begann, begonnen","to begin","","2022-03-13T10:54:07.564Z"
"glänzte / strahlte / glänzen / strahlen / leuchten / leuchtet","shone / shone / shine / shine / shines / shines","","2021-02-04T06:13:23.323Z"
"fernwärme","district heating","Die Stadt hat beschlossen, die Fernwärmeversorgung auszubauen.","2021-02-16T09:55:01.348Z"
"die Klaue","the claw","Der Adler hat eine sehr scharfe Klaue.","2021-06-16T17:24:50.916Z"
"der Neffe","the nephew","","2021-06-10T06:03:00.138Z"
"zulässig / erlaubt","allowed","","2021-02-13T18:13:50.089Z"
"wehtut","hurts","während ich laufe,\nweil's sonst wehtut.","2022-03-03T14:27:46.811Z"
"ausschnitt","cutout","","2021-06-17T13:13:49.721Z"
"spitzname","nickname","","2022-03-05T20:06:26.542Z"
"Streich","Prank","","2021-02-07T00:19:25.694Z"
"austellung","exhibition","","2021-02-13T21:11:39.116Z"
"das Überleben","survival","","2021-06-14T22:33:50.794Z"
"die Kichererbsen","the chickpeas","","2021-06-14T15:15:19.561Z"
"reagieren","react","","2022-03-04T12:16:49.090Z"
"Erinnerung / Gedächtnis","memory","","2021-04-30T05:57:40.487Z"
"Verhütung","Contraception / protection","Verhütung .","2022-03-04T14:43:58.031Z"
"Zuwander","Immigrant","Diese Prüfung richtet sich speziell an Zuwanderinnen und Zuwanderer in Österreich.","2022-03-04T06:15:22.042Z"
"ängstlich","anxious","","2021-01-18T07:58:05.277Z"
"Prüfungsaufbau","Examination structure","und wie ist der Prüfungsaufbau?","2022-03-04T06:08:11.274Z"
"nahaufnahme","close-up","","2022-03-03T13:31:17.065Z"
"Nirgendwo","Nowhere","erwirbt er Land\nirgendwo im Nirgendwo.","2022-03-04T06:29:06.658Z"
"unkonventionell","unconventional","unkonventionell ist.","2022-03-03T16:43:33.612Z"
"Ungezogen","Naughty","","2022-03-03T13:47:06.012Z"
"Missverständnis","misunderstanding","aber es handelt sich um ein\närgerliches Missverständnis.","2022-03-03T07:17:22.207Z"
"raffinierte","refined","","2022-03-03T13:58:06.827Z"
"Treibhausgase","Greenhouse gases","Und es werden immer mehr Treibhausgase\nin die Atmosphäre geblasen.","2022-03-03T07:01:48.180Z"
"die Pfote","the paw","","2021-06-16T17:23:37.284Z"
"Temperaturschwankungen","Temperature fluctuations","Je größer die\nTemperaturschwankungen sind,","2022-03-03T06:58:08.716Z"
"Motivationsschreiben","Motivation letter","Ich würd vorschlagen, wir schauen\nuns mal dein Motivationsschreiben an.","2022-03-03T06:14:29.914Z"
"der Bürger","the citizen","","2021-01-18T06:16:58.487Z"
"nachschlagen","look up / reffer","","2021-02-18T07:46:35.525Z"
"das porto","the postage","","2021-06-24T07:15:37.757Z"
